cal_per_gesture,config,patient,n_cal,n_test_same,n_test_next,has_next_session,fit_time_s,same_acc,same_f1m,same_f1_rest,same_f1_close,same_f1_open,next_acc,next_f1m,next_f1_rest,next_f1_close,next_f1_open
4,patient_only,patient1,48,117,936,True,1.0571660995483398,0.7264957264957265,0.6924335770506213,0.9382716049382716,0.6990291262135923,0.44000000000000006,0.8504273504273504,0.6310260468921629,0.7289719626168224,0.9095607235142118,0.2545454545454545
4,grabmyo_cal,patient1,48,117,936,True,85.92446088790894,0.8034188034188035,0.8033864869307908,1.0,0.708860759493671,0.7012987012987013,0.5096153846153846,0.5827504827290281,1.0,0.6126582278481012,0.13559322033898308
4,patient_only,patient2,48,117,936,True,1.4845008850097656,0.811965811965812,0.8013888888888889,1.0,0.7708333333333334,0.6333333333333333,0.8514957264957265,0.578678662541008,0.7832167832167831,0.9202988792029887,0.03252032520325203
4,grabmyo_cal,patient2,48,117,936,True,87.52748012542725,0.8632478632478633,0.8589717282261743,0.975,0.8372093023255814,0.7647058823529411,0.6965811965811965,0.6028961012192149,0.9936305732484078,0.8011204481792716,0.013937282229965155
4,patient_only,patient3,48,117,936,True,1.3719720840454102,0.6923076923076923,0.6645940807753791,0.9014084507042254,0.6842105263157895,0.4081632653061224,0.9049145299145299,0.6323914823914824,0.9500000000000001,0.9471744471744471,0.0
4,grabmyo_cal,patient3,48,117,936,True,89.57589793205261,0.7606837606837606,0.7400000000000001,1.0,0.5,0.7200000000000001,0.37072649572649574,0.5096595653652071,0.9166666666666666,0.4247258225324027,0.18758620689655173
4,patient_only,patient4,48,117,936,True,0.9942600727081299,0.6495726495726496,0.628746601885592,0.8,0.6548672566371682,0.4313725490196078,0.6292735042735043,0.3988170126153447,0.42162162162162165,0.7748294162244125,0.0
4,grabmyo_cal,patient4,48,117,936,True,88.2209541797638,0.7692307692307693,0.7673570836785419,1.0,0.6823529411764706,0.619718309859155,0.3717948717948718,0.5122087053377191,1.0,0.4525139664804469,0.08411214953271029
4,patient_only,patient5,48,117,936,True,0.5951008796691895,0.6495726495726496,0.572639373677054,0.8354430379746836,0.6964285714285715,0.18604651162790695,0.6271367521367521,0.3952592086429627,0.4269662921348315,0.7588113337940567,0.0
4,grabmyo_cal,patient5,48,117,936,True,91.96675109863281,0.6068376068376068,0.5791695988740323,1.0,0.5306122448979591,0.20689655172413793,0.5363247863247863,0.5799411878338869,0.9746835443037976,0.6465306122448979,0.11860940695296524
4,patient_only,patient6,48,117,936,True,0.8317000865936279,0.4358974358974359,0.34902998236331567,0.5185185185185185,0.5285714285714286,0.0,0.8290598290598291,0.460698227273048,0.43859649122807026,0.9034981905910736,0.04
4,grabmyo_cal,patient6,48,117,936,True,89.96595406532288,0.8632478632478633,0.8572409059711736,1.0,0.7419354838709677,0.8297872340425533,0.5277777777777778,0.6085473979687231,0.9689440993788819,0.6088495575221239,0.24784853700516346
4,patient_only,patient7,48,117,936,True,0.9771230220794678,0.717948717948718,0.722712080216457,0.8,0.6796116504854369,0.6885245901639344,0.8792735042735043,0.7331004136707756,0.6818181818181818,0.9278876834716018,0.5895953757225434
4,grabmyo_cal,patient7,48,117,936,True,93.87797403335571,0.7435897435897436,0.7393048128342246,1.0,0.5588235294117647,0.6590909090909091,0.43482905982905984,0.5086360103982897,0.8695652173913043,0.536888888888889,0.11945392491467575
